,Open,High,Low,Close,Volume
2024-08-26 11:24:38.580748,151.92103199392176,152.11014401841376,150.72188993008996,153.8431542413248,4356800
2024-08-27 11:24:38.580748,158.28380987058125,158.56508518144062,155.737989867987,158.51099516306076,4255337
2024-08-28 11:24:38.580748,157.3878560711463,157.62981378639435,156.29161759164705,157.83200681781923,3311998
2024-08-29 11:24:38.580748,153.90989237813176,156.14288696694248,152.93907247277633,155.36353218126234,1345582
2024-08-30 11:24:38.580748,156.82696151083678,157.63531121881198,156.23947263153204,159.71122014506523,3957435
2024-09-02 11:24:38.580748,152.10197711257885,152.32299200316552,150.91777782727053,152.37729556560691,3153411
2024-09-03 11:24:38.580748,152.31105705645,152.762370345589,150.83183705905387,151.5134065310773,4653257
2024-09-04 11:24:38.580748,156.06208814487988,157.01302366823504,155.63092761003423,154.06931219575483,3802294
2024-09-05 11:24:38.580748,158.16724558483537,158.27567269359616,157.61606868622457,158.75820222603727,1031752
2024-09-06 11:24:38.580748,160.84885715780436,161.89927039247996,160.5346239917538,161.408909026813,1609091
2024-09-09 11:24:38.580748,165.5097983705584,166.13660306552813,165.36268541231703,163.86713873741206,3952271
2024-09-10 11:24:38.580748,165.05271910909732,165.4089133689605,164.81848677917097,165.0122470437014,2018786
2024-09-11 11:24:38.580748,165.10068087272535,166.33603573416957,164.6735868475566,165.9259164256471,1103906
2024-09-12 11:24:38.580748,162.33895790713737,163.1111434105254,162.23061184605362,164.86956620866658,4188262
2024-09-13 11:24:38.580748,162.51649815385045,162.75658637171625,160.91704836125854,161.30648926157286,4916342
2024-09-16 11:24:38.580748,162.23001595043868,163.3316406298335,161.23197373246117,163.39217087714172,1626599
2024-09-17 11:24:38.580748,165.6309588076189,166.97602216577428,164.69653598263872,165.54327430592653,4819372
2024-09-18 11:24:38.580748,162.229703091762,163.1051039714041,162.18729047183373,162.3636396890458,1400197
2024-09-19 11:24:38.580748,166.236364054269,166.79337862617635,165.29018748433728,164.58529480464944,2484066
2024-09-20 11:24:38.580748,163.77638655421273,166.13764843389748,163.50235998228666,163.9677931002325,4383867
2024-09-23 11:24:38.580748,164.10184935523,165.50855662711834,164.02158430646247,165.01134477034662,3972946
2024-09-24 11:24:38.580748,165.3313493768633,166.5674894253245,165.22343543126863,165.97750565408472,3982769
2024-09-25 11:24:38.580748,166.28565204541323,167.4807011778947,164.75647860268987,167.79699303123104,4704840
2024-09-26 11:24:38.580748,168.42977414381534,168.88471120925144,167.50304964021112,168.47750387277222,1959566
2024-09-27 11:24:38.580748,168.1667099687305,170.16733520804792,168.1260124837436,168.90678651568845,4817207
2024-09-30 11:24:38.580748,164.3586438403688,164.87520658361697,164.3378991876726,162.1712322110234,2201208
2024-10-01 11:24:38.580748,162.43154081399314,162.8517751402773,161.96008522003126,163.16202959350593,3817274
2024-10-02 11:24:38.580748,164.7923239897581,165.16219069064135,163.61266801731495,162.7791400354223,2114312
2024-10-03 11:24:38.580748,161.11733498396455,161.21215265832765,160.82561144059326,164.71248740032402,4405371
2024-10-04 11:24:38.580748,161.76586856688922,161.96136156541917,160.80803073392167,162.49055419665075,3996155
2024-10-07 11:24:38.580748,161.31527419130288,161.7488925680191,159.813315642455,160.20364312830566,4526499
2024-10-08 11:24:38.580748,160.49646945826584,161.4076391661184,160.37022009117257,162.0848168140498,2481648
2024-10-09 11:24:38.580748,162.67986888222035,163.28871673432803,160.9943100180816,160.1973385242152,3828455
2024-10-10 11:24:38.580748,162.9040923660526,163.82832736234877,162.71184625619213,162.76960897704362,4008316
2024-10-11 11:24:38.580748,161.67724297291483,162.80361994127395,160.97927428328398,162.58047887089225,2499703
2024-10-14 11:24:38.580748,165.49261065028995,166.62425898757903,163.3897667646431,161.10116504462482,4672592
2024-10-15 11:24:38.580748,160.54717568796696,162.01917386263406,160.03163835233386,159.39645749905898,2913290
2024-10-16 11:24:38.580748,158.64702707875483,159.86012071088297,157.50704942795997,158.13216747512016,3385748
2024-10-17 11:24:38.580748,157.35610673430187,158.19989694492523,156.55977234250085,158.4451477929486,4977260
2024-10-18 11:24:38.580748,160.36937953742182,160.39709915939895,159.0119217065553,160.04768426396478,3108789
2024-10-21 11:24:38.580748,160.18049226068476,161.06930824715369,159.25179909032335,159.1072470833877,2073759
2024-10-22 11:24:38.580748,159.99349431800417,160.0957489861055,158.83231069097528,158.81417330441468,1736213
2024-10-23 11:24:38.580748,160.37241992128583,160.902625543501,158.23958930909885,159.63529606221076,4646694
2024-10-24 11:24:38.580748,159.10123193425576,159.2817682984085,157.99352630925696,160.60245594059668,3695080
2024-10-25 11:24:38.580748,159.45983110689167,159.87762709369053,158.1546119848217,163.5274138019959,1014152
2024-10-28 11:24:38.580748,158.64435888420982,159.53431486849476,158.2142849429063,159.99090033149804,3765635
2024-10-29 11:24:38.580748,156.75521986481232,157.4566047378745,156.6554167220162,157.50701711412137,2870972
